Country,Female,Male,Wage gap,CODE
Montenegro,1031.6363636363637,1044.75,0.012551937175052654,MNE
Myanmar,126.74117647058823,145.67816091954023,0.12999192418011868,MMR
Namibia,683.9174311926605,877.0560747663551,0.22021242327652324,NAM
Nepal,150.91304347826087,195.7391304347826,0.2290093291870279,NPL
New Zealand,2854.59375,4054.9375,0.2960202839131306,NZL
Niger,163.06451612903226,226.375,0.27967082880604194,NER
North Macedonia,663.3125,747.0,0.11203145917001339,MKD
Norway,5920.61,6690.015,0.1150079633603214,NOR
Pakistan,159.01162790697674,196.86363636363637,0.1922752680781602,PAK
Panama,799.9144385026738,850.4352331606218,0.05940581091659237,PAN
Peru,420.2530120481928,517.0595238095239,0.18722508203328828,PER
Philippines,331.76635514018693,300.7,-0.1033134524116626,PHL
Portugal,1038.43125,1279.253164556962,0.18825195921275262,PRT
Qatar,4046.156565656566,3999.080808080808,-0.011771644494063127,QAT
Romania,833.1698113207547,889.1635220125786,0.06297346810301538,ROU
Russian Federation,627.8823529411765,789.5294117647059,0.2047384890478319,RUS
Rwanda,171.13953488372093,204.29545454545453,0.16229396652756467,RWA
Runion,3311.095238095238,3703.095238095238,0.10585739085706937,Unknown
Samoa,563.825,667.0,0.1546851574212893,WSM
Saudi Arabia,1691.5165562913908,1806.7597402597403,0.06378445423616873,SAU
Serbia,810.0526315789474,863.4736842105264,0.06186760941119104,SRB
Singapore,2860.786666666667,3385.551282051282,0.15500123072029323,SGP
Slovakia,996.9910714285714,1251.549107142857,0.2033943648407152,SVK
Slovenia,2008.9915254237287,2238.8474576271187,0.10266708051963791,SVN
South Africa,798.4166666666666,911.8333333333334,0.12438311094863835,ZAF
Spain,2205.6720430107525,2767.4139784946237,0.20298442511641832,ESP
Sri Lanka,189.0701754385965,221.20338983050848,0.14526547001170848,LKA
Sudan,511.14285714285717,1987.5555555555557,0.742828392537695,SDN
Sweden,3951.6806722689075,4318.126050420168,0.08486213090412317,SWE
Switzerland,6486.467532467533,7913.410256410257,0.18031956864448287,CHE
"Tanzania, United Republic of",263.8032786885246,315.9032258064516,0.1649237578531336,TZA
Thailand,462.1119402985075,507.57142857142856,0.08956274075723264,THA
Timor-Leste,301.3541666666667,428.85714285714283,0.29730873861869855,TLS
Togo,164.32142857142858,148.6206896551724,-0.10564302287040114,TGO
Tonga,535.2105263157895,693.8571428571429,0.22864449573594273,TON
Turkey,977.0,1062.2857142857142,0.0802850995158687,TUR
Uganda,117.14634146341463,175.2325581395349,0.3314807321928561,UGA
Ukraine,280.35,353.95,0.2079389744314168,UKR
United Kingdom,2703.4848484848485,3942.3502538071066,0.3142453931194704,GBR
United States,3444.6074380165287,4429.371900826446,0.22232598320005076,USA
Uruguay,976.8888888888889,1197.671717171717,0.18434335980163524,URY
Uzbekistan,229.75,299.3,0.23237554293351156,UZB
Vanuatu,400.0,514.55,0.22262170828879596,VUT
Viet Nam,230.23214285714286,257.6725663716814,0.10649338383565803,VNM
Yemen,146.33333333333334,197.42857142857142,0.2588036661842739,YEM
Zambia,505.5813953488372,386.1136363636364,-0.3094108773529246,ZMB
